New Internal ID	Year	Genus	Species	Serovar	Source (site)	Source (national)	ST	Plasmids	Ceftriaxone CRO (R≤ 19)	Meropenem (R≤ 19)	Ampicillin (R≤ 13)	Gentamicin (R≤ 12)	Ciprofloxacin (R≤ 21)	Tetracycline (R≤ 11)	Chloramphenicol (R≥ 32 )	Colistin  (≥ 4) 	Trimethoprim-Sulfamethoxazole ( ≥4)	Amoxicillin-clavulanic acid -Amoclan (≥32/16)	Azithromycin (≥32)	Nalidixic acid (≥32)	Aminoglycoside	triclosan	fosfomycin	peptide antibiotic	Glycopeptide	nucleoside antibiotic, disinfecting agents and antiseptics	fluoroquinolone antibiotic	elfamycin antibiotic	nitroimidazole antibiotic	cephalosporin, penam	cephalosporin, cephamycin, penam	aminoglycoside antibiotic, aminocoumarin antibiotic	fluoroquinolone antibiotic, tetracycline antibiotic	macrolide antibiotic, fluoroquinolone antibiotic, penam	tetracycline antibiotic, benzalkonium chloride, rhodamine	fluoroquinolone antibiotic, diaminopyrimidine antibiotic, phenicol antibiotic	monobactam, carbapenem, cephalosporin, cephamycin, penam, phenicol antibiotic, penem	macrolide antibiotic, fluoroquinolone antibiotic, cephalosporin, cephamycin, penam, tetracycline antibiotic	macrolide antibiotic, aminoglycoside antibiotic, cephalosporin, tetracycline antibiotic, peptide antibiotic, rifamycin antibiotic	fluoroquinolone antibiotic, cephalosporin, glycylcycline, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan	fluoroquinolone antibiotic, monobactam, carbapenem, cephalosporin, glycylcycline, cephamycin, penam, tetracycline antibiotic, rifamycin antibiotic, phenicol antibiotic, triclosan, penem	monobactam, cephalosporin, penam, penem	Tetracycline	  Disinfectant            	Sulphonamide	cephalosporin	Beta-lactam   	Acridine dye, disinfecting agents and intercalating dyes	Macrolide, Lincosamide and streptogramin B 	Phenicol 	diaminopyrimidine antibiotic	macrolide	aminocoumarin antibiotic	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics
SAL_201903_184	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	4 R	2 S	<2 S 	2 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_185	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S),ColpEC648	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	<0.5 S 	16 S	4 R	2 S 	<2 S	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK,GryA	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_186	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	21 R	4 R	16 S	4 R 	16 R	8 S	8 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	-	-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_187	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	34	IncQ1	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	4 R 	>512 R 	64 R 	32 R	64 R 	AAC(6')-Iaa,APH(6)-Id, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	sul2	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_188	2019	Salmonella	Enterica	Agona	Human stool	Lebanon	13	-	18 R	15 R	13 R	<0.25 S 	1 S 	4 R	16 S	0.5	1 S 	<2 S	4 S	8 S	AAC(6')-Iy, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin,FoasA7	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_189	2019	Salmonella	Enterica	Infantis	Human stool	Lebanon	32	IncFIB(pN55391)	19 R	<0.25 S 	6 R	6 R	21 R	4 R	6 R	4 R 	16 R	256 R	4 S	>512 R 	aac(6')-Iaa, AAC(6')-Iy, kdpE,acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK,GryA	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		tet(A)	qacEdelta1	sul2	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_190	2019	Salmonella	Enterica	Kentucky	Human stool	Lebanon	1807	-	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	<0.5 S 	16 S	<0.25 S	>512 R	<2 S 	4 S 	16 S	AAC(6')-Iaa, kdpE,  acrD	-	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_191	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	<0.5 S 	16 S	0.5 S 	2 S	<2 S	2 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	adeF	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201903_192	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	4 R	16 S	2 S	2 S 	<2 S 	2 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_193	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	6 R 	6 R	15 R	4 R	6 R 	0.25 S 	256 R 	1024 R 	8 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_194	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S)	<0.25 S 	<0.25 S 	6 R	6 R	20 R	4 R	6 R	<0.25 S 	64 R	1024 R 	4 S	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_195	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	<0.5 S 	16 S	0.25 S 	32 R	512 R	4 S 	>512 R 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-			mdtB,mdtC	mdtM					
SAL_201904_196	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	1 S 	4 R	16 S	<0.25 S 	4 R	<2 S 	4 S 	>512 R 	AAC(6')-Iy, kdpE	gyrA with mutation conferring resistance to triclosan	UhpT with mutation conferring resistance to fosfomycin	 PmrF, ArnT	vanG	leuO	emrB, emrR, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR	adeF	-	Escherichia coli mdfA	rsmA	golS	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		tetR	-	sul2	-	-	-	Inu (G)	-			mdtB,mdtC	mdtM					
SAL_201904_197	2019	Salmonella	Enterica	Enteritidis	Human stool	Lebanon	11	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	13 R	6 R	15 R	4 R	6 R	0.25 S 	8 R	512 R	2 S	8 S 	AAC(6')-Iy, kdpE,  acrD	gyrA with mutation conferring resistance to triclosan	 GlpT  , UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT,ugd	vanG	leuO	emrB, emrR, emrA, MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	baeR, cpxA	-	CRP	Escherichia coli mdfA	rsmA	golS, mdsA,mdsB,mdsC	-	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation		-	-	-	-	-	-	-	-									
SAL_201904_198	2019	Salmonella	Enterica	Typhimurium	Human stool	Lebanon	2116	IncFIB(S), IncFII(S)	<0.25 S 	<0.25 S 	<2 S 	<0.25 S 	<0.25 S 	4 R	16 S	<0.25 S 	2 S 	<2 S 	2 S	>512 R 	AAC(3)-IIe, APH(3'')-Ib, APH(6)-Id, AAC(6')-Iy, kdpE	-	UhpT with mutation conferring resistance to fosfomycin	bacA, PmrF, ArnT	vanG	leuO	emrB,MdtK	-	msbA	-	PBP3 conferring resistance to beta-lactam antibiotics	-	-	CRP	-	rsmA	golS, mdsA,mdsB	H-NS	 KpnE,  KpnF	marA,acrB, sdiA,  acrA,  AcrAB-TolC with marR mutations,AcrAB-TolC with AcrR mutation	soxS with mutation, soxR with mutation	TEM-1	tet(B), Tet(R)  	-	sul2	-	-	-	Inu (G)	-						 KpnH			
